ID;BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;VISSZAFIZETES;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
ID1;20000;940195;269000;27;2;0,5;2;7,9183;10;0,2;0
ID2;5000;38510;22700;18;2;0,5;2;7,9183;6;0,25;0
ID3;20000;2100413;730771;28;2;0,5;2;7,9183;10;0,833333333;1
ID4;2000;32408;-2799;22;2;0,5;2;7,9183;6;0,7;1
ID5;5000;35300;71675;26;2;0,5;2;7,9183;6;0;0
ID6;10000;639900;28789;29;2;0,5;2;7,9183;10;0,777777778;1
ID7;2000;32507;7026;26;2;0,5;2;7,9183;6;0,666666667;0
ID8;2000;44727;6895;21;2;0,5;2;7,9183;5;0;0
ID9;10000;323097;21913;29;2;0,5;2;7,9183;8;0;0
ID10;20000;893767;-184367;24;2;0,5;2;7,9183;10;0,555555556;0
ID11;20000;5204701;2233344;30;2;0,5;2;7,9183;10;0,714285714;1
ID12;20000;2742668;562000;25;2;0,5;2;7,9183;10;0,555555556;0
ID13;5000;27119;34000;24;2;0,5;2;7,9183;7;0;0
ID14;20000;954165;187540;20;2;0,5;2;7,9183;9;0;0
ID15;2000;166556;-27513;30;2;0,5;2;7,9183;8;0,285714286;1
ID16;20000;2633028;1265586;31;2;0,5;2;7,9183;10;0,833333333;0
ID17;20000;53497;65090;20;2;0,5;2;7,9183;10;0,133333333;0
ID18;10000;244177;13527;28;2;0,5;2;7,9183;10;0,833333333;1
ID19;20000;1098210;303320;31;2;0,5;2;7,9183;10;0,75;1
ID20;20000;621237;565605;30;2;0,5;2;7,9183;10;0,666666667;1
ID21;20000;0;251229;14;2;0,5;2;7,9183;9;0,75;0
ID22;5000;517730;150001;16;2;0,5;2;7,9183;7;0,083333333;0
ID23;2000;30393;-6512;21;2;0,5;2;7,9183;6;0,333333333;0
ID24;10000;206698;72073;29;2;0,5;2;7,9183;10;0,133333333;0
ID25;20000;403447;154200;15;2;0,5;2;7,9183;8;0;0
ID26;10000;1097975;101548;20;2;0,5;2;7,9183;8;0,714285714;1
ID27;20000;87866;175363;29;2;0,5;2;7,9183;10;0,833333333;1
ID28;2000;18615;-12022;24;2;0,5;2;7,9183;7;0,6;1
ID29;5000;154979;68353;19;2;0,5;2;7,9183;6;0,333333333;1
ID30;20000;728649;257912;25;2;0,5;2;7,9183;10;0,714285714;1
ID31;10000;151630;18860;22;2;0,5;2;7,9183;8;0;0
ID32;5000;195132;81574;24;2;0,5;2;7,9183;6;1;0
ID33;20000;397090;97999;11;2;0,5;2;7,9183;9;0,285714286;0
ID34;20000;697639;428699;27;2;0,5;2;7,9183;10;1;1
ID35;20000;399137;124090;29;2;0,5;2;7,9183;10;0,25;0
ID36;2000;45791;11296;16;2;0,5;2;7,9183;7;0,5;0
ID37;2000;16422;11779;22;2;0,5;2;7,9183;8;1;1
ID38;2000;33680;1696;31;2;0,5;2;7,9183;7;0;0
